Date,Fitbit steps,Weight
2015-05-28,0.0,
2015-05-29,0.0,
2015-05-30,0.0,
2015-05-31,0.0,
2015-06-01,0.0,
2015-06-02,0.0,
2015-06-03,0.0,170.2
2015-06-04,0.0,
2015-06-05,0.0,
2015-06-06,0.0,
2015-06-07,0.0,
2015-06-08,0.0,
2015-06-09,0.0,
2015-06-10,0.0,171.2
2015-06-11,0.0,
2015-06-12,0.0,
2015-06-13,0.0,
2015-06-14,0.0,
2015-06-15,0.0,
2015-06-16,0.0,
2015-06-17,0.0,169.0
2015-06-18,0.0,
2015-06-19,0.0,
2015-06-20,0.0,
2015-06-21,0.0,
2015-06-22,0.0,
2015-06-23,0.0,
2015-06-24,0.0,170.4
2015-06-25,0.0,
2015-06-26,0.0,
2015-07-01,,167.0
2015-07-08,,166.2
2015-08-08,,164.2
2015-08-19,,163.6
2015-08-26,,162.8
2015-09-02,,160.6
2015-09-09,,161.4
2015-09-16,,160.2
2015-09-23,,156.8
2015-09-30,,159.6
2015-10-07,,157.2
2015-10-14,,156.9
2015-10-21,,156.9
2015-10-28,,157.8
2015-11-04,,155.4
2015-11-11,,155.4
2015-11-18,,157.4
2015-11-25,,155.6
2015-12-02,,153.6
2015-12-09,,155.8
2015-12-16,,155.2
2015-12-23,,156.2
2015-12-30,,155.2
2016-01-11,,155.2
2016-01-13,,156.8
2016-01-20,,156.0
2016-01-27,,154.2
2016-02-03,,155.2
2016-02-10,,155.2
2016-02-17,,154.0
2016-02-24,,153.8
2016-03-03,,152.0
2016-03-09,,153.4
2016-03-23,,156.6
2016-03-30,,156.2
2016-04-15,,155.8
2016-05-03,,157.6
2016-05-11,,156.6
2016-05-18,,155.6
